MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,197511,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197512,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197513,1918,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197601,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197602,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197603,164,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197604,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197605,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197606,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197607,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197608,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197609,165,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197610,164,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197611,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197612,184,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197613,2038,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197701,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197702,163,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197703,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197704,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197705,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197706,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197707,199,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197708,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197709,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197710,166,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197711,167,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197712,184,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197713,2124,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197801,198,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197802,174,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197803,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197804,160,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197805,175,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197806,188,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197807,203,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197808,206,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197809,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197810,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197811,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197812,192,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197813,2206,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197901,210,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197902,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197903,183,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197904,170,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197905,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197906,187,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197907,202,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197908,205,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197909,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197910,180,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197911,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197912,189,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197913,2247,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198001,200,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198002,189,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198003,187,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198004,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198005,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198006,189,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198007,217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198008,215,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198009,191,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198010,179,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198011,179,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198012,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198013,2286,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198101,206,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198102,180,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198103,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198104,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198105,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198106,203,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198107,220,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198108,210,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198109,187,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198110,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198111,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198112,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198113,2295,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198201,209,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198202,180,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198203,188,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198204,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198205,177,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198206,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198207,211,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198208,206,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198209,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198210,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198211,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198212,185,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198213,2241,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198301,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198302,172,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198303,182,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198304,170,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198305,174,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198306,191,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198307,220,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198308,230,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198309,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198310,183,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198311,183,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198312,212,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198313,2310,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198401,217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198402,190,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198403,200,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198404,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198405,192,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198406,210,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198407,221,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198408,229,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198409,195,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198410,191,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198411,190,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198412,200,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198413,2416,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198501,228,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198502,198,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198503,195,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198504,185,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198505,197,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198506,205,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198507,227,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198508,226,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198509,202,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198510,195,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198511,192,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
